"Date","Hour End Time","Variable Manager Hours","Variable Crew Hours","Fixed Manager Hours","Fixed Crew Hours","Projected VLH"
'07/08/2016','06:00',,,,,6
'07/08/2016','07:00',,,,,9.75
'07/08/2016','08:00',,,,,11
'07/08/2016','09:00',,,,,11.25
'07/08/2016','10:00',,,,,11
'07/08/2016','11:00',,,,,10.75
'07/08/2016','12:00',,,,,13.25
'07/08/2016','13:00',,,,,14.25
'07/08/2016','14:00',,,,,13
'07/08/2016','15:00',,,,,11.25
'07/08/2016','16:00',,,,,11.25
'07/08/2016','17:00',,,,,10.75
'07/08/2016','18:00',,,,,11.75
'07/08/2016','19:00',,,,,12.75
'07/08/2016','20:00',,,,,11
'07/08/2016','21:00',,,,,7.75
'07/08/2016','22:00',,,,,5.75
'07/08/2016','23:00',,,,,5.75
'07/08/2016','24:00',,,,,3
'07/08/2016','25:00',,,,,2.5
'07/09/2016','05:00',,0,,4,
'07/09/2016','06:00',,5,,4.25,5.25
'07/09/2016','07:00',,7.5,,4.25,7.5
'07/09/2016','08:00',,10.75,,3,10.5
'07/09/2016','09:00',0,10.5,1,5,11
'07/09/2016','10:00',0,13.75,1,4.5,13.25
'07/09/2016','11:00',0,12.75,1,6,13
'07/09/2016','12:00',0,13.25,0.5,4.5,13.25
'07/09/2016','13:00',0,12.75,1,3,12.5
'07/09/2016','14:00',0,12.75,1,2,12.5
'07/09/2016','15:00',0,11.25,1,2.25,10.75
'07/09/2016','16:00',0,8.5,1,1,8.5
'07/09/2016','17:00',0,7,1,1,7.5
'07/09/2016','18:00',,9.5,,0.5,10
'07/09/2016','19:00',,9,,2.5,8.75
'07/09/2016','20:00',,7.25,,1,7.25
'07/09/2016','21:00',,7.25,,0.5,6
'07/09/2016','22:00',,7,,1,6.75
'07/09/2016','23:00',,6.25,,1.75,5.5
'07/09/2016','24:00',,4,,1,4.25
'07/09/2016','25:00',,3,,2,2.75
'07/09/2016','26:00',,0,,4,
'07/10/2016','05:00',,0,,6,
'07/10/2016','06:00',,5.5,,6,5
'07/10/2016','07:00',,6,,6.25,6.25
'07/10/2016','08:00',,7.5,,2,7.5
'07/10/2016','09:00',,10.5,,3,10.25
'07/10/2016','10:00',,10.75,,4,11.25
'07/10/2016','11:00',,11.5,,4.5,11.25
'07/10/2016','12:00',,12,,5,12.5
'07/10/2016','13:00',,13,,2,13
'07/10/2016','14:00',,12,,2.25,12.75
'07/10/2016','15:00',,10.25,,1.75,10
'07/10/2016','16:00',,8.25,,1,7.75
'07/10/2016','17:00',,6.75,,1,6.75
'07/10/2016','18:00',,9,,1,8
'07/10/2016','19:00',,9.5,,1.5,9
'07/10/2016','20:00',,6.75,,1,6.5
'07/10/2016','21:00',,6.25,,1,6.5
'07/10/2016','22:00',,5.5,,1.5,5.25
'07/10/2016','23:00',,5,,1,5.25
'07/10/2016','24:00',,4,,2,3.75
'07/10/2016','25:00',,0,,4,
'07/11/2016','05:00',,0,,3,
'07/11/2016','06:00',,5.75,,3,5.75
'07/11/2016','07:00',,8,,2.75,7
'07/11/2016','08:00',,11,,3.5,10.5
'07/11/2016','09:00',,11,,5,11
'07/11/2016','10:00',,10,,3,9.25
'07/11/2016','11:00',,11.25,,4.5,9.75
'07/11/2016','12:00',,12.5,,3.5,12
'07/11/2016','13:00',,13,,4,13.25
'07/11/2016','14:00',,10.5,,4,11.25
'07/11/2016','15:00',,9.75,,5,9.5
'07/11/2016','16:00',,8.75,,2.75,8
'07/11/2016','17:00',,9.5,,2,8.75
'07/11/2016','18:00',,8.5,,4,8
'07/11/2016','19:00',,7.25,,4.25,7.5
'07/11/2016','20:00',,5.5,,3,6.25
'07/11/2016','21:00',,5.5,,1,5.5
'07/11/2016','22:00',,5.5,,1.5,5
'07/11/2016','23:00',,4,,1,5
'07/11/2016','24:00',,3,,2,3
'07/11/2016','25:00',,0,,4,
'07/12/2016','05:00',,0,,3,
'07/12/2016','06:00',,5.75,,3,5.25
'07/12/2016','07:00',,8.25,,2.75,8.5
'07/12/2016','08:00',,10,,3.5,10.25
'07/12/2016','09:00',,10.25,,3.25,10
'07/12/2016','10:00',,8.5,,2.75,8
'07/12/2016','11:00',0,8.75,1,4.5,8.75
'07/12/2016','12:00',0,11.75,1,3.75,11.25
'07/12/2016','13:00',0,12.5,1,2,13
'07/12/2016','14:00',0,11.25,1,2,10.75
'07/12/2016','15:00',0,8.75,1,4.5,8.5
'07/12/2016','16:00',0,7.75,1,4,7.25
'07/12/2016','17:00',0,6.75,1,3,7.25
'07/12/2016','18:00',0,8.75,1,3,9
'07/12/2016','19:00',0,7,1,2,7.25
'07/12/2016','20:00',,6,,2,6.25
'07/12/2016','21:00',,7,,1,6.25
'07/12/2016','22:00',,6.5,,1.5,6
'07/12/2016','23:00',,4.25,,1,4
'07/12/2016','24:00',,3,,2,3.25
'07/12/2016','25:00',,0,,4,
'07/13/2016','05:00',,0,,7,
'07/13/2016','06:00',,5.75,,7,5.75
'07/13/2016','07:00',,7,,7.25,7.5
'07/13/2016','08:00',,11,,2.5,10.75
'07/13/2016','09:00',,11,,4.25,9.75
'07/13/2016','10:00',,11,,4.5,10.25
'07/13/2016','11:00',0,8.5,1,5,8.5
'07/13/2016','12:00',0,12,1,6.75,11.75
'07/13/2016','13:00',0,12.5,1,3,12.5
'07/13/2016','14:00',0,12,1,3.5,11.75
'07/13/2016','15:00',0,7.5,1,4.25,7.5
'07/13/2016','16:00',0,8,1,3,8
'07/13/2016','17:00',0,8.75,1,2,8.5
'07/13/2016','18:00',0,10,1,2.25,10.25
'07/13/2016','19:00',0,11.25,1,4,11.25
'07/13/2016','20:00',,7.5,,2,8.25
'07/13/2016','21:00',,7.5,,2,7.5
'07/13/2016','22:00',,6.25,,2.75,5.75
'07/13/2016','23:00',,5,,1,4.25
'07/13/2016','24:00',,3,,2,3.25
'07/13/2016','25:00',,0,,4,
'07/14/2016','05:00',,0,,4,
'07/14/2016','06:00',,7,,4,6.75
'07/14/2016','07:00',,8.5,,4.25,8.25
'07/14/2016','08:00',,11,,4,11.25
'07/14/2016','09:00',,11,,4.5,11.25
'07/14/2016','10:00',,10.5,,4.5,11
'07/14/2016','11:00',0,9.75,1,4.5,10
'07/14/2016','12:00',0,12.25,1,6.5,11.5
'07/14/2016','13:00',0,14.5,1,3,14.75
'07/14/2016','14:00',0,12,1,3.25,12
'07/14/2016','15:00',0,11,1,3.25,9.75
'07/14/2016','16:00',0,9.25,1,2,8.75
'07/14/2016','17:00',0,7.5,1,3,8.25
'07/14/2016','18:00',0,10.75,1,2.75,11.25
'07/14/2016','19:00',0,9.5,1,3.5,10.75
'07/14/2016','20:00',,7,,2,8.5
'07/14/2016','21:00',,7,,2,6.75
'07/14/2016','22:00',,5.75,,2.75,5.25
'07/14/2016','23:00',,4.5,,1,4.25
'07/14/2016','24:00',,3,,2,3.5
'07/14/2016','25:00',,0,,4,
'07/15/2016','05:00',,0,,4,
'07/15/2016','06:00',,6,,4,6
'07/15/2016','07:00',,9,,4.25,9.75
'07/15/2016','08:00',,10.5,,4,11
'07/15/2016','09:00',,10.5,,4.5,11.25
'07/15/2016','10:00',,12.5,,4,10.75
'07/15/2016','11:00',0,10.75,1,5,10.25
'07/15/2016','12:00',0,13,1,6.5,13
'07/15/2016','13:00',0,15,1,4,14.25
'07/15/2016','14:00',0,12.5,1,2,12.75
'07/15/2016','15:00',0,12.25,1,3.75,11.75
'07/15/2016','16:00',0,11,1,4,11
'07/15/2016','17:00',0,10.75,1,3,10.75
'07/15/2016','18:00',0,11.25,1,3,12
'07/15/2016','19:00',0,12,1,5,12.5
'07/15/2016','20:00',,10,,2.5,10.25
'07/15/2016','21:00',,8.25,,2,8.25
'07/15/2016','22:00',,6,,2,6
'07/15/2016','23:00',,5.5,,1.5,6.25
'07/15/2016','24:00',,4,,1,3.25
'07/15/2016','25:00',,3,,2,3
'07/15/2016','26:00',,0,,4,
'07/16/2016','05:00',,0,,3,
'07/16/2016','06:00',,5.75,,3.25,5
'07/16/2016','07:00',,7.5,,4,7.75
'07/16/2016','08:00',,11,,3.25,10.75
'07/16/2016','09:00',0,11.5,1,5,11
'07/16/2016','10:00',0,13.25,1,5,13.25
'07/16/2016','11:00',0,12.75,1,6,13
'07/16/2016','12:00',0,13.5,1,4.5,13.25
'07/16/2016','13:00',0,12.75,1,3.75,13
'07/16/2016','14:00',0,12,1,3,12
'07/16/2016','15:00',0,10.5,1,5,11
'07/16/2016','16:00',0,9,1,3,8.5
'07/16/2016','17:00',0,8,1,3,7.75
'07/16/2016','18:00',,10,,1,9.75
'07/16/2016','19:00',,9,,2,9.25
'07/16/2016','20:00',,8,,1.5,7.75
'07/16/2016','21:00',,6,,0.5,6
'07/16/2016','22:00',,6.75,,1,6.25
'07/16/2016','23:00',,4.5,,1.5,5
'07/16/2016','24:00',,4,,1,4
'07/16/2016','25:00',,3,,2,3.25
'07/16/2016','26:00',,0,,4,
'07/17/2016','05:00',,0,,6,
'07/17/2016','06:00',,5,,6,5.25
'07/17/2016','07:00',,6,,6.25,6.5
'07/17/2016','08:00',,8.5,,2,8
'07/17/2016','09:00',,10.5,,3.75,10
'07/17/2016','10:00',,11,,5,11
'07/17/2016','11:00',,11.75,,5.5,11.25
'07/17/2016','12:00',,11.75,,5.5,12.25
'07/17/2016','13:00',,12.5,,3.5,12.5
'07/17/2016','14:00',,11.75,,3.25,12
'07/17/2016','15:00',,10.25,,2.75,10.5
'07/17/2016','16:00',,8.75,,1,8
'07/17/2016','17:00',,7.25,,1,7.25
'07/17/2016','18:00',,8.75,,1,8
'07/17/2016','19:00',,9.75,,1.25,9.25
'07/17/2016','20:00',,6,,1,6
'07/17/2016','21:00',,6.5,,1.5,6.25
'07/17/2016','22:00',,7,,1,5.75
'07/17/2016','23:00',,6,,1,5
'07/17/2016','24:00',,4,,2,3.75
'07/17/2016','25:00',,0,,4,
'07/18/2016','05:00',,0,,3,
'07/18/2016','06:00',,5.5,,3,5.5
'07/18/2016','07:00',,7.5,,2.75,7.25
'07/18/2016','08:00',,10,,3.5,10.5
'07/18/2016','09:00',,10.5,,5,10
'07/18/2016','10:00',,10,,3,9.5
'07/18/2016','11:00',,9.5,,4.5,9.5
'07/18/2016','12:00',,12,,4,12
'07/18/2016','13:00',,12.75,,2.25,12.75
'07/18/2016','14:00',,10.25,,3.75,10
'07/18/2016','15:00',,9.5,,5.5,9.25
'07/18/2016','16:00',,8,,5,7.25
'07/18/2016','17:00',,7.5,,4,7.75
'07/18/2016','18:00',,7.5,,4.5,7.25
'07/18/2016','19:00',,7.75,,4.75,7.5
'07/18/2016','20:00',,6.25,,5.25,6
'07/18/2016','21:00',,6.5,,1,5.5
'07/18/2016','22:00',,5,,1.5,5
'07/18/2016','23:00',,5,,1,4.75
'07/18/2016','24:00',,4,,2,3.5
'07/18/2016','25:00',,0,,4,
'07/19/2016','05:00',,0,,3,
'07/19/2016','06:00',,5.75,,3,5.25
'07/19/2016','07:00',,8.5,,2.75,8.5
'07/19/2016','08:00',,10.5,,3.5,10.5
'07/19/2016','09:00',,10.25,,4,10.5
'07/19/2016','10:00',,8.5,,2.5,8.5
'07/19/2016','11:00',0,8.5,1,4.75,8.5
'07/19/2016','12:00',0,12.25,1,3.75,11.25
'07/19/2016','13:00',0,13.5,1,2,13.25
'07/19/2016','14:00',0,10.75,1,10,10.75
'07/19/2016','15:00',0,9.75,1,4.5,8.75
'07/19/2016','16:00',0,7,1,4,7
'07/19/2016','17:00',0,6.75,1,3,7
'07/19/2016','18:00',0,9.75,1,1.25,9
'07/19/2016','19:00',0,7.5,1,3.75,7.25
'07/19/2016','20:00',,6,,3.5,6
'07/19/2016','21:00',,6,,3,5.75
'07/19/2016','22:00',,5.25,,1.75,6.25
'07/19/2016','23:00',,4,,1,4
'07/19/2016','24:00',,3,,2,2.75
'07/19/2016','25:00',,0,,4,
'07/20/2016','05:00',,0,,7,
'07/20/2016','06:00',,5.75,,7,6
'07/20/2016','07:00',,8,,7.25,7.5
'07/20/2016','08:00',,10.5,,3.5,10.5
'07/20/2016','09:00',,10.75,,6,10.5
'07/20/2016','10:00',,11,,6,10.5
'07/20/2016','11:00',0,8.75,1,6,8.75
'07/20/2016','12:00',0,12,1,6.25,11.75
'07/20/2016','13:00',0,12.75,1,3.75,13.25
'07/20/2016','14:00',0,12.5,1,2,12
'07/20/2016','15:00',0,8,1,2.25,7.75
'07/20/2016','16:00',0,7.75,1,3,7.75
'07/20/2016','17:00',0,7.75,1,2,7.75
'07/20/2016','18:00',0,9.75,1,2.25,9.75
'07/20/2016','19:00',0,11,1,2.5,11
'07/20/2016','20:00',,8.5,,1.75,8
'07/20/2016','21:00',,7.5,,1,7.25
'07/20/2016','22:00',,5.5,,1.5,5.25
'07/20/2016','23:00',,5,,1,4.5
'07/20/2016','24:00',,4,,1,3.25
'07/20/2016','25:00',,0,,4,
'07/21/2016','05:00',,0,,4,
'07/21/2016','06:00',,6.5,,4,6.25
'07/21/2016','07:00',,8,,4.25,8.5
'07/21/2016','08:00',,10.5,,4,11
'07/21/2016','09:00',,11.5,,7,10.75
'07/21/2016','10:00',,10.75,,6.25,10.75
'07/21/2016','11:00',0,8.75,1,7,8.25
'07/21/2016','12:00',0,11.5,1,4.75,11
'07/21/2016','13:00',0,14.5,1,2,14.25
'07/21/2016','14:00',0,12.5,1,2.25,12.25
'07/21/2016','15:00',0,11,1,3,9.75
'07/21/2016','16:00',0,8.5,1,3,8.5
'07/21/2016','17:00',0,8.25,1,3,8
'07/21/2016','18:00',0,10.5,1,3.25,10.25
'07/21/2016','19:00',0,10.75,1,5.5,10.5
'07/21/2016','20:00',,8,,3,8
'07/21/2016','21:00',,6.5,,3,6.25
'07/21/2016','22:00',,6.25,,1.75,5.5
'07/21/2016','23:00',,5,,1,4.5
'07/21/2016','24:00',,3.75,,2,3.5
'07/21/2016','25:00',,0,,4,
'07/22/2016','05:00',,0,,4,
'07/22/2016','06:00',,6.5,,4,6.25
'07/22/2016','07:00',,10,,4.25,10.5
'07/22/2016','08:00',,11.5,,3.5,11.25
'07/22/2016','09:00',,12,,4.5,11.5
'07/22/2016','10:00',,11,,5.5,11.25
'07/22/2016','11:00',0,11.25,1,6,11.25
'07/22/2016','12:00',0,13.25,1,5,13.5
'07/22/2016','13:00',0,14.5,1,3.5,14
'07/22/2016','14:00',0,12.5,1,2,12.75
'07/22/2016','15:00',0,12,1,3.25,12.5
'07/22/2016','16:00',0,11,1,3.5,10.25
'07/22/2016','17:00',0,11.25,1,3,10.75
'07/22/2016','18:00',0,11.75,1,3,11.75
'07/22/2016','19:00',0,12.75,1,4.25,12.5
'07/22/2016','20:00',,11,,2.5,11.25
'07/22/2016','21:00',,9.5,,1,9
'07/22/2016','22:00',,7,,1,6.5
'07/22/2016','23:00',,5.5,,1.5,5.75
'07/22/2016','24:00',,4,,1,3
'07/22/2016','25:00',,3,,2,2.75
'07/22/2016','26:00',,0,,4,
'07/23/2016','05:00',,0,,3,
'07/23/2016','06:00',,5.5,,3.25,5.5
'07/23/2016','07:00',,8,,3,8
'07/23/2016','08:00',,11,,3.25,10.75
'07/23/2016','09:00',0,13,1,5,12.5
'07/23/2016','10:00',0,14.75,1,4.5,13.5
'07/23/2016','11:00',0,13.25,1,6,13
'07/23/2016','12:00',0,14.5,1,4.5,14.25
'07/23/2016','13:00',0,12.75,1,3.75,13
'07/23/2016','14:00',0,12.75,1,3.75,12.25
'07/23/2016','15:00',0,11.75,1,5.75,11.5
'07/23/2016','16:00',0,10,1,4,10
'07/23/2016','17:00',0,9.5,1,3,9
'07/23/2016','18:00',,10.5,,1.5,10
'07/23/2016','19:00',,9.75,,2,9.25
'07/23/2016','20:00',,8.25,,1.25,8
'07/23/2016','21:00',,6,,1,5.5
'07/23/2016','22:00',,6.75,,1,6
'07/23/2016','23:00',,4.5,,1.5,5
'07/23/2016','24:00',,4,,1,3.75
'07/23/2016','25:00',,3,,2,3
'07/23/2016','26:00',,0,,4,
'07/24/2016','05:00',,0,,6,
'07/24/2016','06:00',,5,,6,4.75
'07/24/2016','07:00',,6,,6.25,5.75
'07/24/2016','08:00',,7.75,,2,7.5
'07/24/2016','09:00',,11.5,,3.5,10
'07/24/2016','10:00',,12,,5,11.5
'07/24/2016','11:00',,11.5,,5.25,11.25
'07/24/2016','12:00',,12,,5.5,11.75
'07/24/2016','13:00',,13,,3,12.5
'07/24/2016','14:00',,12.5,,3.25,12
'07/24/2016','15:00',,10.25,,1.25,10.25
'07/24/2016','16:00',,8.25,,1,7.5
'07/24/2016','17:00',,6.75,,1,6.75
'07/24/2016','18:00',,7.5,,1,7.25
'07/24/2016','19:00',,8.25,,1,8
'07/24/2016','20:00',,6.25,,1,6
'07/24/2016','21:00',,6.5,,1,5.75
'07/24/2016','22:00',,5.5,,1.5,5.5
'07/24/2016','23:00',,5,,1,4.25
'07/24/2016','24:00',,4,,2,3.75
'07/24/2016','25:00',,0,,4,
'07/25/2016','05:00',,0,,3,
'07/25/2016','06:00',,6,,3.25,5.75
'07/25/2016','07:00',,7.5,,3.5,7.5
'07/25/2016','08:00',,11,,3,10.75
'07/25/2016','09:00',,9.5,,3.5,9.75
'07/25/2016','10:00',,10,,4,10
'07/25/2016','11:00',,10,,4.25,10
'07/25/2016','12:00',,12,,4,12.25
'07/25/2016','13:00',,13,,2.5,13
'07/25/2016','14:00',,11,,2.75,11.5
'07/25/2016','15:00',,9.25,,1.25,9.25
'07/25/2016','16:00',,7.5,,2.5,6.75
'07/25/2016','17:00',,7.5,,2,8.25
'07/25/2016','18:00',,8,,2,7.5
'07/25/2016','19:00',,8.25,,2.25,8
'07/25/2016','20:00',,6,,2,6.25
'07/25/2016','21:00',,6,,1.25,6
'07/25/2016','22:00',,5,,1.25,5
'07/25/2016','23:00',,5,,1,4.25
'07/25/2016','24:00',,4,,2,3.75
'07/25/2016','25:00',,0,,4,
'07/26/2016','05:00',,0,,3,
'07/26/2016','06:00',,5.75,,3,6
'07/26/2016','07:00',,8,,2.75,8
'07/26/2016','08:00',,11,,3.25,10.75
'07/26/2016','09:00',,11,,4,11
'07/26/2016','10:00',,9.5,,2.5,9.5
'07/26/2016','11:00',0,9.25,1,5,8.75
'07/26/2016','12:00',0,12.25,1,4.75,12
'07/26/2016','13:00',0,14.5,1,2.5,14.25
'07/26/2016','14:00',0,11.5,1,2.75,11.75
'07/26/2016','15:00',0,9.5,1,3.5,9.25
'07/26/2016','16:00',0,8,1,2,7.25
'07/26/2016','17:00',0,7.5,1,2.5,7.5
'07/26/2016','18:00',0,9.75,1,3,9.75
'07/26/2016','19:00',0,7.75,1,3,8
'07/26/2016','20:00',,6,,2,6
'07/26/2016','21:00',,5.5,,1,5.75
'07/26/2016','22:00',,5.5,,1.5,6
'07/26/2016','23:00',,4,,1,3.75
'07/26/2016','24:00',,3,,2,2.75
'07/26/2016','25:00',,0,,4,
'07/27/2016','05:00',,0,,7,
'07/27/2016','06:00',,5.5,,7,5.75
'07/27/2016','07:00',,7.75,,7.25,7.75
'07/27/2016','08:00',,10.75,,2,10.5
'07/27/2016','09:00',,10.25,,6.25,10
'07/27/2016','10:00',,11,,7,10.5
'07/27/2016','11:00',0,9.75,1,8,9.5
'07/27/2016','12:00',0,12,1,5.75,12
'07/27/2016','13:00',0,14,1,1.75,14
'07/27/2016','14:00',0,12,1,2.25,12
'07/27/2016','15:00',0,8.75,1,1.5,8.25
'07/27/2016','16:00',0,7.25,1,2,7.25
'07/27/2016','17:00',0,8.5,1,2,8
'07/27/2016','18:00',0,10.5,1,2,10.5
'07/27/2016','19:00',0,11,1,2.5,10.25
'07/27/2016','20:00',,8.25,,1,8.25
'07/27/2016','21:00',,8,,1,7.5
'07/27/2016','22:00',,6,,2.5,6.25
'07/27/2016','23:00',,5.25,,1,5
'07/27/2016','24:00',,4,,2,3.25
'07/27/2016','25:00',,0,,5,
'07/28/2016','05:00',,0,,4,
'07/28/2016','06:00',,6.5,,4,6
'07/28/2016','07:00',,8.5,,4.25,8.5
'07/28/2016','08:00',,11.5,,4,11.25
'07/28/2016','09:00',,10.75,,7,10.25
'07/28/2016','10:00',,10.75,,6.5,10.75
'07/28/2016','11:00',0,8.75,1,8,9.25
'07/28/2016','12:00',0,12.25,1,5,11.75
'07/28/2016','13:00',0,14.25,1,2,14
'07/28/2016','14:00',0,12,1,2.25,12
'07/28/2016','15:00',0,10.75,1,2.75,9.75
'07/28/2016','16:00',0,8.25,1,3.5,8.5
'07/28/2016','17:00',0,7.5,1,3,7.75
'07/28/2016','18:00',0,10.75,1,2,10.25
'07/28/2016','19:00',0,10,1,3.5,10.25
'07/28/2016','20:00',,8.75,,3,8.5
'07/28/2016','21:00',,6.75,,3,6.5
'07/28/2016','22:00',,5.5,,3,5.5
'07/28/2016','23:00',,5,,1,4.5
'07/28/2016','24:00',,3.75,,2,3.5
'07/28/2016','25:00',,0,,4,
'07/29/2016','05:00',,0,,4,
'07/29/2016','06:00',,6.5,,4,6.25
'07/29/2016','07:00',,10,,4.25,10
'07/29/2016','08:00',,11,,4,11.25
'07/29/2016','09:00',,11.5,,4.5,11.5
'07/29/2016','10:00',,11.75,,4.75,11.25
'07/29/2016','11:00',0,11.75,1,6.5,11.75
'07/29/2016','12:00',0,13.25,1,5,13.25
'07/29/2016','13:00',0,14.5,1,3,14.25
'07/29/2016','14:00',0,13,1,2,13.25
'07/29/2016','15:00',0,12.25,1,2.75,11.75
'07/29/2016','16:00',0,10.25,1,3,10
'07/29/2016','17:00',0,10.75,1,2.25,10.5
'07/29/2016','18:00',0,11.5,1,3,11.5
'07/29/2016','19:00',0,12.5,1,4.5,12.5
'07/29/2016','20:00',,10.5,,1.5,10.5
'07/29/2016','21:00',,9.75,,1,9.25
'07/29/2016','22:00',,6.5,,1,6.5
'07/29/2016','23:00',,6.5,,1.5,7
'07/29/2016','24:00',,5,,1,3.75
'07/29/2016','25:00',,4,,2,3.5
'07/29/2016','26:00',,0,,4,
'07/30/2016','05:00',,0,,3,
'07/30/2016','06:00',,5,,3.25,5.25
'07/30/2016','07:00',,8,,3,8
'07/30/2016','08:00',,11.75,,3.5,10.5
'07/30/2016','09:00',0,12,1,5,12.25
'07/30/2016','10:00',0,13.5,1,4.5,13.75
'07/30/2016','11:00',0,12.5,1,6.75,13
'07/30/2016','12:00',0,14.5,1,4.5,14.75
'07/30/2016','13:00',0,13.75,1,3.75,13.25
'07/30/2016','14:00',0,13,1,3.5,12.75
'07/30/2016','15:00',0,10.5,1,4.75,11
'07/30/2016','16:00',0,9.5,1,3,9.25
'07/30/2016','17:00',0,9.5,1,3,9.25
'07/30/2016','18:00',,10.75,,1.5,10.25
'07/30/2016','19:00',,9.5,,2.25,9.25
'07/30/2016','20:00',,8,,1.5,7.5
'07/30/2016','21:00',,6,,1,6
'07/30/2016','22:00',,5.5,,1,6.25
'07/30/2016','23:00',,4.75,,1.5,4.75
'07/30/2016','24:00',,4,,1,4
'07/30/2016','25:00',,3,,2,3.5
'07/30/2016','26:00',,0,,4,
'07/31/2016','05:00',,0,,6,
'07/31/2016','06:00',,5,,6,4.25
'07/31/2016','07:00',,6.5,,6.25,5.75
'07/31/2016','08:00',,8,,2,7.75
'07/31/2016','09:00',,10.25,,3.75,10
'07/31/2016','10:00',,12.5,,5,12.5
'07/31/2016','11:00',,12.25,,5.75,11.75
'07/31/2016','12:00',,11.5,,6,11.75
'07/31/2016','13:00',,13.5,,3.5,13.25
'07/31/2016','14:00',,13,,3.25,12.75
'07/31/2016','15:00',,10,,1.5,10.25
'07/31/2016','16:00',,8.75,,1,8.25
'07/31/2016','17:00',,7,,1,7.25
'07/31/2016','18:00',,8.5,,1,8.25
'07/31/2016','19:00',,10.5,,1,9.5
'07/31/2016','20:00',,8.5,,1.5,7.5
'07/31/2016','21:00',,6.5,,1,6.25
'07/31/2016','22:00',,5.5,,1.5,5.75
'07/31/2016','23:00',,4.75,,1,4.75
'07/31/2016','24:00',,4,,1,3.75
'07/31/2016','25:00',,0,,4,
'08/01/2016','05:00',,0,,4,
'08/01/2016','06:00',,6,,3.5,5.75
'08/01/2016','07:00',,7.5,,3.25,7.5
'08/01/2016','08:00',,10.5,,5,10.75
'08/01/2016','09:00',,10.75,,4,9.75
'08/01/2016','10:00',,10.75,,3.5,9.75
'08/01/2016','11:00',,10.5,,4.5,10.5
'08/01/2016','12:00',,12.5,,3.25,12.25
'08/01/2016','13:00',,13.5,,2.5,13.25
'08/01/2016','14:00',,11.5,,4.25,11.75
'08/01/2016','15:00',,9.75,,3.5,9.5
'08/01/2016','16:00',,6.5,,5,7.25
'08/01/2016','17:00',,7.5,,1,7.5
'08/01/2016','18:00',,8.5,,3,7.25
'08/01/2016','19:00',,8.5,,3,8.25
'08/01/2016','20:00',,7.5,,3.5,6.5
'08/01/2016','21:00',,6,,1,6.25
'08/01/2016','22:00',,5.5,,1.5,5
'08/01/2016','23:00',,5,,1,4.75
'08/01/2016','24:00',,3,,2,3.75
'08/01/2016','25:00',,0,,4,
'08/02/2016','05:00',,0,,3,
'08/02/2016','06:00',,6.25,,3,6.25
'08/02/2016','07:00',,8.5,,2.75,7.5
'08/02/2016','08:00',,11,,3.5,11
'08/02/2016','09:00',,11,,4,11
'08/02/2016','10:00',,10,,2.5,9.75
'08/02/2016','11:00',0,8.25,1,5.25,8.5
'08/02/2016','12:00',0,12.75,1,4,12
'08/02/2016','13:00',0,14.5,1,2,13.75
'08/02/2016','14:00',0,11.5,1,2.25,11.5
'08/02/2016','15:00',0,9.75,1,4.5,9.25
'08/02/2016','16:00',0,8,1,4,7.25
'08/02/2016','17:00',0,7.75,1,4,7.75
'08/02/2016','18:00',0,9,1,2,8.75
'08/02/2016','19:00',0,8,1,2,7.75
'08/02/2016','20:00',,6,,1,5.75
'08/02/2016','21:00',,6,,1,6
'08/02/2016','22:00',,5.5,,1.5,5.75
'08/02/2016','23:00',,4,,1,4
'08/02/2016','24:00',,3,,2,3
'08/02/2016','25:00',,0,,4,
'08/03/2016','05:00',,0,,7,
'08/03/2016','06:00',,5.75,,7,5.75
'08/03/2016','07:00',,8.5,,7.25,8
'08/03/2016','08:00',,10.5,,2.5,10.75
'08/03/2016','09:00',,11,,5.25,10
'08/03/2016','10:00',,11,,5.75,11.25
'08/03/2016','11:00',0,10.25,1,7.25,10
'08/03/2016','12:00',0,12.25,1,6.5,12
'08/03/2016','13:00',0,14.5,1,2,14.25
'08/03/2016','14:00',0,12,1,2.25,12.25
'08/03/2016','15:00',0,8.5,1,1.5,7.75
'08/03/2016','16:00',0,8,1,2,7.5
'08/03/2016','17:00',0,8.5,1,4,9.25
'08/03/2016','18:00',0,10.5,1,4.25,10.25
'08/03/2016','19:00',0,10.25,1,4.5,10
'08/03/2016','20:00',,7.5,,1,7.75
'08/03/2016','21:00',,8,,1,7.25
